"date","serie"
1978-01-01,10489.3
1978-02-01,10508.6
1978-03-01,10518.7
1978-04-01,10530.9
1978-05-01,10543.4
1978-06-01,10555.4
1978-07-01,10570.5
1978-08-01,10586.9
1978-09-01,10598.3
1978-10-01,10612.9
1978-11-01,10629
1978-12-01,10643.8
1979-01-01,10660.7
1979-02-01,10679.9
1979-03-01,10692.1
1979-04-01,10706.5
1979-05-01,10724.4
1979-06-01,10736.4
1979-07-01,10750.7
1979-08-01,10766.9
1979-09-01,10781.2
1979-10-01,10797.6
1979-11-01,10816.1
1979-12-01,10829.1
1980-01-01,10844.1
1980-02-01,10861
1980-03-01,10875.6
1980-04-01,10892
1980-05-01,10909.7
1980-06-01,10924.1
1980-07-01,10940.7
1980-08-01,10959.6
1980-09-01,10977.2
1980-10-01,10997
1980-11-01,11019.1
1980-12-01,11036.9
1981-01-01,11057
1981-02-01,11079.3
1981-03-01,11093.6
1981-04-01,11110.2
1981-05-01,11128
1981-06-01,11146.7
1981-07-01,11165.5
1981-08-01,11184.2
1981-09-01,11204.6
1981-10-01,11224.9
1981-11-01,11245.3
1981-12-01,11266
1982-01-01,11286.1
1982-02-01,11306.8
1982-03-01,11326
1982-04-01,11344.5
1982-05-01,11362.9
1982-06-01,11380.5
1982-07-01,11398.1
1982-08-01,11415.9
1982-09-01,11430.4
1982-10-01,11444.1
1982-11-01,11459.1
1982-12-01,11478.9
1983-01-01,11498.1
1983-02-01,11517.8
1983-03-01,11536
1983-04-01,11554.4
1983-05-01,11572.6
1983-06-01,11589.4
1983-07-01,11606.2
1983-08-01,11623.2
1983-09-01,11638.3
1983-10-01,11653.2
1983-11-01,11668.1
1983-12-01,11688.6
1984-01-01,11705.9
1984-02-01,11723.3
1984-03-01,11740.4
1984-04-01,11757.5
1984-05-01,11774.6
1984-06-01,11791.7
1984-07-01,11808.8
1984-08-01,11826
1984-09-01,11844.3
1984-10-01,11862.6
1984-11-01,11881
1984-12-01,11900.8
1985-01-01,11920.7
1985-02-01,11940.7
1985-03-01,11958.1
1985-04-01,11975.6
1985-05-01,11993.1
1985-06-01,12012.3
1985-07-01,12031.4
1985-08-01,12050.6
1985-09-01,12073.3
1985-10-01,12096.1
1985-11-01,12119
1985-12-01,12141.6
1986-01-01,12164.2
1986-02-01,12186.9
1986-03-01,12207.8
1986-04-01,12228.7
1986-05-01,12249.7
1986-06-01,12270.8
1986-07-01,12291.9
1986-08-01,12313
1986-09-01,12334.8
1986-10-01,12356.6
1986-11-01,12378.5
1986-12-01,12401.4
1987-01-01,12424.4
1987-02-01,12447.4
1987-03-01,12468.8
1987-04-01,12489.9
1987-05-01,12511
1987-06-01,12531.2
1987-07-01,12551.2
1987-08-01,12571.1
1987-09-01,12594.4
1987-10-01,12617.4
1987-11-01,12640.5
1987-12-01,12664.4
1988-01-01,12688
1988-02-01,12711.8
1988-03-01,12732.6
1988-04-01,12753.4
1988-05-01,12774.3
1988-06-01,12794.6
1988-07-01,12814.5
1988-08-01,12834.5
1988-09-01,12856.9
1988-10-01,12879.3
1988-11-01,12901.7
1988-12-01,12924.4
1989-01-01,12947.1
1989-02-01,12969.9
1989-03-01,12991.8
1989-04-01,13013.6
1989-05-01,13035.5
1989-06-01,13055.5
1989-07-01,13075.4
1989-08-01,13095.5
1989-09-01,13112.4
1989-10-01,13129.3
1989-11-01,13146.1
1989-12-01,13163.1
1990-01-01,13179.9
1990-02-01,13196.8
1990-03-01,13216.6
1990-04-01,13236.5
1990-05-01,13256.4
1990-06-01,13276.3
1990-07-01,13296.2
1990-08-01,13316.2
1990-09-01,13336.1
1990-10-01,13356
1990-11-01,13375.9
1990-12-01,13395.1
1991-01-01,13414.2
1991-02-01,13433.5
1991-03-01,13451.2
